[2019-09-09 09:03:42,779] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/28.jpg 304 [0.03, 127.0.0.1:3419]
[2019-09-09 09:03:42,822] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/29.jpg 304 [0.05, 127.0.0.1:3427]
[2019-09-09 09:03:42,824] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/30.jpg 304 [0.04, 127.0.0.1:3428]
[2019-09-09 09:03:42,828] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/31.jpg 304 [0.03, 127.0.0.1:3426]
[2019-09-09 09:03:42,833] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/32.jpg 304 [0.03, 127.0.0.1:3420]
[2019-09-09 09:03:42,836] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/33.jpg 304 [0.02, 127.0.0.1:3429]
[2019-09-09 09:03:42,852] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/34.jpg 304 [0.03, 127.0.0.1:3419]
[2019-09-09 09:03:42,858] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/35.jpg 304 [0.02, 127.0.0.1:3427]
[2019-09-09 09:03:42,862] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/bg.jpg 304 [0.01, 127.0.0.1:3428]
[2019-09-09 09:03:42,865] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/1.png 304 [0.01, 127.0.0.1:3426]
[2019-09-09 09:03:44,766] [runserver.py:147] [runserver:log_action] [INFO]- HTTP GET /goods/?id=21 302 [0.01, 127.0.0.1:3426]
[2019-09-09 09:03:44,802] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.02, 127.0.0.1:3426]
[2019-09-09 09:03:44,826] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:3426]
[2019-09-09 09:03:44,830] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3428]
[2019-09-09 09:03:44,868] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/21.jpg 304 [0.02, 127.0.0.1:3428]
[2019-09-09 09:03:44,872] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/23.jpg 304 [0.02, 127.0.0.1:3426]
[2019-09-09 09:03:44,876] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/24.jpg 304 [0.02, 127.0.0.1:3427]
[2019-09-09 09:03:44,879] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/25.jpg 304 [0.02, 127.0.0.1:3419]
[2019-09-09 09:03:44,883] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/26.jpg 304 [0.02, 127.0.0.1:3429]
